,Industry,Real value added in billion chained (2012) U.S. dollars
0,"Finance, insurance, real estate, rental, and leasing",65.59
1,Professional and business services,55.91
2,Government and government enterprises,40.13
3,Manufacturing,25.5
4,Information,25.32
5,"Educational services, health care, and social assistance",25.01
6,"Mining, quarrying, and oil and gas extraction",20.38
7,Retail trade,19.66
8,Wholesale trade,18.99
9,Construction,17.01
10,"Arts, entertainment, recreation, accommodation, and food services",16.26
11,Transportation and warehousing,11.99
12,Other services (except government and government enterprises),7.26
13,"Agriculture, forestry, fishing, and hunting",4.24
14,Utilities,3.6
