,State,"Burglary rate per 100,000 inhabitants"
0,New Mexico,696.8
1,Oklahoma,671.7
2,Mississippi,627.0
3,Arkansas,599.6
4,Louisiana,579.0
5,South Carolina,533.4
6,Alabama,531.9
7,North Carolina,519.1
8,Nevada,503.5
9,Alaska,487.1
10,Washington,453.6
11,Tennessee,437.4
12,Missouri,430.4
13,Arizona,394.3
14,Texas,392.8
15,California,386.1
16,Hawaii,377.2
17,Ohio,375.5
18,Georgia,372.1
19,Iowa,371.1
20,Oregon,349.1
21,Colorado,348.4
22,Kentucky,345.7
23,Kansas,342.7
24,North Dakota,342.2
25,United States,340.5
26,West Virginia,328.7
27,Indiana,323.7
28,Delaware,304.8
29,South Dakota,299.1
30,Florida,295.2
31,Michigan,286.1
32,Minnesota,282.4
33,Maryland,278.9
34,Utah,276.7
35,Illinois,271.7
36,Montana,270.1
37,District of Columbia,261.1
38,Nebraska,245.3
39,Wyoming,241.2
40,Idaho,219.7
41,Rhode Island,219.1
42,Wisconsin,217.6
43,Vermont,204.3
44,New Jersey,184.6
45,Pennsylvania,182.4
46,Connecticut,180.7
47,Massachusetts,179.0
48,Maine,174.8
49,Virginia,162.8
50,New York,141.9
51,New Hampshire,126.3
