,medical specialty,Number of companies
0,Digital health,491
1,Assistive technology,347
2,In vitro diagnostic technology,253
3,Single use technology,221
4,Re-usable diagnostic or analytic equipment,194
5,Hospital hardware,179
6,Orthopaedic devices,152
7,Mobility access,140
8,Dental and maxillofacial technology,127
9,Surgical instruments (re-usable),124
10,Infection control,113
11,Wound care and management,110
12,Medical imaging/ultrasound equipment and materials,108
13,Ophthalmic devices/equipment,84
14,Anaesthetic and respiratory technology,82
15,Cardiovascular and vascular devices,66
16,Drug delivery,49
17,Neurology,31
18,Radiotherapy equipment,23
19,Implantable devices,21
