,State,Number of facilities
0,California,419
1,New York,252
2,Flordia,85
3,New Jersey,76
4,Connecticut,54
5,Washington,51
6,Massachusetts,47
7,Maryland,44
8,Pennsylvania,43
9,Illinois,40
10,Texas,35
11,Colorado,32
12,Virginia,32
13,Michigan,30
14,Oregon,29
15,Hawaii,28
16,Gerogia,26
17,North Carolina,26
18,Maine,21
19,Ohio,14
20,Utah,12
21,New Hampshire,12
22,Tennessee,12
23,Arizona,11
24,Nevada,11
25,Minnesota,11
26,Vermont,10
27,South Carolina,10
28,Iowa,9
29,Indiana,9
30,District of Columbia,8
31,New Mexico,7
32,Alabama,7
33,Nebraska,7
34,Delaware,6
35,Wisconsin,6
36,Alaska,6
37,Oklahoma,6
38,Idaho,5
39,Montana,5
40,Kansas,4
41,Louisiana,4
42,Arkansas,4
43,Missouri,4
44,Mississippi,3
45,Kentucky,3
46,Rhode Island,3
47,West Virginia,3
48,South Dakota,2
49,Wyoming,2
50,North Dakota,1
