,Response,Share of responding businesses
0,"Professional services (e.g., financial services, consulting, travel agents, business services)",13%
1,Other,13%
2,"Personal services (e.g. beauty and wellness, repair of household goods)",13%
3,"Arts, entertainment or recreation (e.g., museum, creative arts, sports club)",11%
4,Retail or wholesale (incl. online shops),10%
5,"Media, communication or information (e.g., broadcasting, telecoms, computer programming)",8%
6,"Accommodation (e.g., hotels, camping grounds)",7%
7,Construction or home repair,5%
8,Non-profit/charity organization,5%
9,"Healthcare (e.g., dentist, senior care)",4%
10,Restaurant/café or other food services,4%
11,Automotive repair or services,3%
12,"Education (e.g., schools, tutoring, driving school)",2%
13,"Real estate (e.g., brokerage, leasing, management)",1%
14,Manufacturing,1%
15,"Transportation or storage (e.g., taxi, warehousing)",0%
