,Football player,Games played
0,Iker Casillas,177
1,Cristiano Ronaldo,169
2,Xavi Hernández,151
3,Raúl González,142
4,Ryan Giggs,141
5,Lionel Messi,141
6,Andrés Iniesta,130
7,Clarence Seedorf,125
8,Sergio Ramos,124
9,Paul Scholes,124
10,Gianluigi Buffon,123
11,Roberto Carlos,120
12,Xabi Alonso,119
13,Karim Benzema,119
14,Zlatan Ibrahimović,119
15,Carles Puyol,115
16,Gerard Piqué,114
17,Sergio Busquets,112
18,Thierry Henry,112
19,Philipp Lahm,112
20,Dani Alves,111
21,Petr Čech,111
22,Thomas Müller,111
23,Arjen Robben,110
24,Paolo Maldini,109
25,Gary Neville,109
26,John Terry,109
