,Year,Gross domestic product in billion international dollars
0,2021*,131.43
1,2020*,123.65
2,2019,118.69
3,2018,111.19
4,2017,102.08
5,2016,95.4
6,2015,92.28
7,2014,86.43
8,2013,81.16
9,2012,76.17
10,2011,73.1
11,2010,67.03
12,2009,61.54
13,2008,56.51
14,2007,50.2
15,2006,45.24
16,2005,41.02
17,2004,36.16
18,2003,33.28
19,2002,30.78
20,2001,28.3
21,2000,25.46
22,1999,23.96
23,1998,21.88
24,1997,20.4
25,1996,19.17
26,1995,17.66
27,1994,15.84
28,1993,14.4
29,1992,13.19
30,1991,12.18
31,1990,11.58
32,1989,10.48
33,1988,9.48
34,1987,8.45
35,1986,7.93
36,1985,7.7
37,1984,7.7
