,Quarter,Net income/loss in million U.S. dollars
0,Q4 '19,118.77
1,Q3 '19,36.52
2,Q2 '19*,1119.56
3,Q1 '19,190.8
4,Q4 '18,255.3
5,Q3 '18,789.18
6,Q2 '18,100.12
7,Q1 '18,61.0
8,Q4 '17,91.08
9,Q3 '17,-21.1
10,Q2 '17,-116.49
11,Q1 '17,-61.56
12,Q4 '16,-167.05
13,Q3 '16,-102.87
14,Q2 '16,-107.22
15,Q1 '16,-79.73
16,Q4 '15,-90.24
17,Q3 '15,-131.69
18,Q2 '15,-136.66
19,Q1 '15,-162.44
20,Q4 '14,-125.35
21,Q3 '14,-175.46
22,Q2 '14,-144.64
23,Q1 '14,-132.36
24,Q4 '13,-511.47
25,Q3 '13,-64.6
26,Q2 '13,-42.23
27,Q1 '13,-27.03
28,Q4 '12,-8.71
29,Q3 '12,-21.59
30,Q2 '12,-27.58
31,Q1 '12,-21.52
