,Year,GDP per capita in million U.S. dollars
0,2024*,4982.76
1,2023*,4691.73
2,2022*,4412.07
3,2021*,4146.53
4,2020*,3881.66
5,2019*,3592.17
6,2018,3112.88
7,2017,2655.94
8,2016,2200.0
9,2015,2124.62
10,2014,3053.61
11,2013,3968.8
12,2012,3872.53
13,2011,3589.63
14,2010,2982.81
15,2009,2557.28
16,2008,3944.72
17,2007,3101.39
18,2006,2319.29
19,2005,1839.52
20,2004,1374.75
21,2003,1055.95
22,2002,885.32
23,2001,784.86
24,2000,664.38
25,1999,664.99
26,1998,874.27
27,1997,1037.89
28,1996,914.35
29,1995,752.34
30,1994,740.97
