,Month,Case fatality rate
0,Jan 1,5%
1,Dec 4,5.1%
2,Nov 6,5.2%
3,Oct 2,5.2%
4,Sep 11,5.3%
5,Sep 4,5.3%
6,Aug 28,5.2%
7,Aug 21,5.3%
8,Aug 14,5.3%
9,Aug 7,5.3%
10,Jul 30,5.3%
11,Jul 23,5.4%
12,Jul 16,5.45%
13,Jul 9,5.46%
14,Jul 2,5.47%
15,Jun 25,5.48%
16,Jun 18,5.49%
17,Jun 11,5.51%
18,Jun 4,5.51%
19,May 28,5.51%
20,May 21,5.52%
21,May 14,5.52%
22,May 7,5.52%
23,Apr 30,5.52%
24,Apr 23,5.53%
25,Apr 17,5.54%
26,Apr 16,4.01%
27,Apr 9,4.03%
28,Apr 2,4.02%
29,Mar 26,4.03%
30,Mar 19,4%
31,Mar 18,4%
32,Mar 17,3.98%
33,Mar 16,3.97%
34,Mar 15,3.95%
35,Mar 14,3.94%
36,Mar 13,3.93%
37,Mar 12,3.92%
38,Mar 11,3.91%
39,Mar 10,3.88%
40,Mar 9,3.86%
41,Mar 8,3.83%
42,Mar 7,3.8%
43,Mar 6,3.77%
44,Mar 5,3.74%
45,Mar 4,3.71%
46,Mar 3,3.67%
47,Mar 2,3.64%
48,Mar 1,3.59%
49,Feb 29,3.58%
50,Feb 28,3.53%
51,Feb 27,3.49%
52,Feb 26,3.48%
53,Feb 25,3.43%
54,Feb 24,3.36%
55,Feb 23,3.17%
56,Feb 22,3.07%
57,Feb 21,2.96%
58,Feb 19,2.84%
59,Feb 20,2.7%
60,Feb 17,2.58%
61,Feb 18,2.51%
62,Feb 16,2.43%
63,Feb 15,2.29%
64,Feb 9,2.16%
65,Feb 13,2.29%
66,Feb 12,2.49%
67,Feb 11,2.38%
68,Feb 10,2.26%
69,Feb 14,2.18%
70,Feb 8,2.09%
71,Feb 7,2.04%
72,Feb 6,2.01%
73,Feb 4,2.02%
74,Feb 5,2.08%
75,Feb 3,2.1%
76,Feb 2,2.11%
77,Jan 31,2.19%
78,Feb 1,2.19%
79,Jan 30,2.2%
80,Jan 29,2.2%
81,Jan 28,2.34%
82,Jan 27,2.92%
83,Jan 26,2.82%
84,Jan 24,3.1%
85,Jan 25,2.95%
86,Jan 23,2.73%
87,Jan 22,3.23%
88,Jan 21,1.55%
89,Jan 20,1.28%
90,Jan 19,1.39%
