,State,GDP in billion current U.S. dollars
0,California,3137.47
1,Texas,1886.96
2,New York,1731.91
3,Florida,1093.35
4,Illinois,897.12
5,Pennsylvania,813.51
6,Ohio,698.46
7,New Jersey,644.84
8,Georgia,616.33
9,Washington,599.61
10,Massachusetts,595.56
11,North Carolina,587.71
12,Virginia,554.21
13,Michigan,541.55
14,Maryland,428.34
15,Colorado,390.28
16,Minnesota,380.85
17,Tennessee,380.14
18,Indiana,377.1
19,Arizona,366.19
20,Wisconsin,347.31
21,Missouri,332.08
22,Connecticut,285.64
23,Louisiana,263.86
24,Oregon,251.6
25,South Carolina,246.31
26,Alabama,230.97
27,Kentucky,214.67
28,Oklahoma,206.06
29,Iowa,194.79
30,Utah,188.5
31,Nevada,177.61
32,Kansas,173.14
33,District of Columbia,146.19
34,Arkansas,133.18
35,Nebraska,127.04
36,Mississippi,118.78
37,New Mexico,104.0
38,Hawaii,97.28
39,New Hampshire,88.6
40,Idaho,80.91
41,West Virginia,78.19
42,Delaware,75.42
43,Maine,67.52
44,Rhode Island,63.54
45,North Dakota,57.04
46,Alaska,55.41
47,South Dakota,53.31
48,Montana,52.17
49,Wyoming,39.65
50,Vermont,34.78
