,Country,Score (0-100)
0,Chile,72.6
1,Mexico,72.4
2,Puerto Rico,70.1
3,Colombia,70.1
4,Jamaica,69.7
5,Costa Rica,69.2
6,Peru,68.7
7,Panama,66.6
8,El Salvador,65.3
9,St. Lucia,63.7
10,Guatemala,62.6
11,Uruguay,61.5
12,Trinidad and Tobago,61.3
13,Dominica,60.5
14,Antigua and Barbuda,60.3
15,Dominican Republic,60.0
16,Bahamas,59.9
17,Brazil,59.1
18,Paraguay,59.1
19,Argentina,59.0
20,Barbados,57.9
21,Ecuador,57.7
22,St. Vincent and the Grenadines,57.1
23,Honduras,56.3
24,Guyana,55.5
25,Belize,55.5
26,St. Kitts and Nevis,54.6
27,Nicaragua,54.4
28,Grenada,53.4
29,Bolivia,51.7
30,Suriname,47.5
31,Haiti,40.7
32,Venezuela,30.2
