,Year,Male,Female
0,France (2009),133,130
1,Denmark (2001),118,120
2,Italy (2008),117,112
3,Portugal (1999),116,108
4,Japan (2011),104,117
5,Belgium (2005),104,107
6,Korea (2009),107,103
7,China (2008),104,96
8,Germany (2001-02),97,101
9,Poland (2003-04),90,91
10,Australia (2006),87,91
11,Slovenia (2000-01),89,83
12,India (1999),87,80
13,Norway (2010),83,80
14,Finland (2009-10),80,81
15,New Zealand (2009-10),79,80
16,Estonia (2009-2010),82,77
17,Austria (2008-09),77,81
18,Ireland (2005),78,75
19,South Africa (2010),76,69
20,Sweden (2010),70,74
21,Mexico (2009),71,70
22,Netherlands (2005-06),61,70
23,Spain (2009-10),66,61
24,United States (2014),63,61
25,Canada (2010),61,58
26,United Kingdom (2005),59,59
