,Year,Export Volume (in billion U.S. dollars)
0,2019,26.03
1,2018,25.31
2,2017,24.52
3,2016,22.14
4,2015,25.03
5,2014,26.68
6,2013,26.12
7,2012,31.16
8,2011,27.63
9,2010,21.8
10,2009,19.6
11,2008,22.22
12,2007,19.18
13,2006,17.55
14,2005,15.59
15,2004,13.96
16,2003,13.09
17,2002,13.08
18,2001,10.93
19,2000,12.48
20,1999,11.82
21,1998,11.92
22,1997,12.06
23,1996,12.01
24,1995,10.79
25,1994,9.78
26,1993,8.28
27,1992,8.88
28,1991,8.4
29,1990,8.54
30,1989,8.33
31,1988,6.97
32,1987,5.49
33,1986,5.55
34,1985,5.44
