,Transport Company,Turnover in million euros
0,SAS AB,4347.29
1,Norwegian Air Shuttle ASA,4014.54
2,Finnair Oyj,2568.4
3,BRA Sverige AB,267.44
4,Braathens Aviation AB,266.99
5,Bristow Norway AS,233.25
6,West Atlantic AB (publ),176.45
7,CHC Helikopter Service AS,168.78
8,Dat A/S,141.57
9,Star Air A/S,127.26
10,TUIfly Nordic AB,125.09
11,Air Alsie A/S,77.31
12,Nova Airlines AB Novair,74.62
13,Norwegian Pilot Services Norway AS,71.32
14,Sun-Air of Scandinavia A/S,65.84
15,Lufttransport Fw AS,45.62
16,Cgs Holding AS,42.63
17,Widerøe Technical Services AS,38.66
18,Sundt Air AS,29.6
19,CityJet A/S,28.93
