,Month,Cumulative number of cases
0,Dec 15,628577
1,Dec 14,621944
2,Dec 13,613487
3,Dec 12,603603
4,Dec 11,594523
5,Dec 10,585685
6,Dec 9,576965
7,Dec 8,570437
8,Dec 7,564291
9,Dec 6,557224
10,Dec 5,550445
11,Dec 4,543924
12,Dec 3,538050
13,Dec 2,532444
14,Dec 1,527523
15,Nov 30,523478
16,Nov 29,518910
17,Nov 28,513325
18,Nov 27,508866
19,Nov 26,503123
20,Nov 25,498653
21,Nov 24,493744
22,Nov 23,489818
23,Nov 22,484648
24,Nov 21,479260
25,Nov 20,473190
26,Nov 19,467257
27,Nov 18,461612
28,Nov 17,457003
29,Nov 16,452701
30,Nov 15,447871
31,Nov 14,442458
32,Nov 13,436544
33,Nov 12,430453
34,Nov 11,424819
35,Nov 10,419412
36,Nov 9,414745
37,Nov 8,410065
38,Nov 7,404401
39,Nov 6,397730
40,Nov 5,390488
41,Nov 4,383523
42,Nov 3,375890
43,Nov 2,368147
44,Nov 1,359861
45,Oct 31,351178
46,Oct 30,341174
47,Oct 29,330255
48,Oct 28,319991
49,Oct 27,311889
50,Oct 26,301597
51,Oct 25,291254
52,Oct 24,281052
53,Oct 23,272401
54,Oct 22,262405
55,Oct 21,253134
56,Oct 20,244391
57,Oct 19,236226
58,Oct 18,228234
59,Oct 17,220052
60,Oct 16,211938
61,Oct 15,203954
62,Oct 14,196163
63,Oct 13,188876
64,Oct 12,181498
65,Oct 11,174653
66,Oct 10,168280
67,Oct 9,161781
68,Oct 8,155810
69,Oct 7,149471
70,Oct 6,144999
71,Oct 5,140471
72,Oct 4,135892
73,Oct 3,131889
74,Oct 2,127922
75,Oct 1,124097
76,Sep 30,120845
77,Sep 29,117551
78,Sep 28,114540
79,Sep 27,111626
80,Sep 26,105918
81,Sep 25,103141
82,Sep 24,100493
83,Sep 23,98142
84,Sep 22,95899
85,Sep 21,93684
86,Sep 20,91841
87,Sep 19,89959
88,Sep 18,87987
89,Sep 17,86237
90,Sep 16,84697
91,Sep 15,83321
92,Sep 14,82023
93,Sep 13,80937
94,Sep 12,79706
95,Sep 11,78438
96,Sep 10,77615
97,Sep 9,76475
98,Sep 8,75512
99,Sep 7,74715
100,Sep 6,73790
101,Sep 5,73136
102,Sep 4,72392
103,Sep 3,71971
104,Sep 2,71057
105,Sep 1,70596
106,Aug 31,70071
107,Aug 30,69563
108,Aug 29,69063
109,Aug 28,68556
110,Aug 27,68046
111,Aug 26,67670
112,Aug 25,67476
113,Aug 24,67062
114,Aug 23,66490
115,Aug 22,66034
116,Aug 21,65526
117,Aug 20,64992
118,Aug 19,64463
119,Aug 18,63911
120,Aug 17,63424
121,Aug 16,62943
122,Aug 15,62437
123,Aug 14,61785
124,Aug 13,60572
125,Aug 12,59918
126,Aug 11,59139
127,Aug 10,58987
128,Aug 9,57987
129,Aug 8,57501
130,Aug 7,56982
131,Aug 6,56381
132,Aug 5,55955
133,Aug 4,55773
134,Aug 3,55395
135,Aug 2,54579
136,Aug 1,54301
137,Jul 31,53963
138,Jul 30,53621
139,Jul 29,53374
140,Jul 28,53151
141,Jul 27,52946
142,Jul 26,52732
143,Jul 25,52595
144,Jul 24,52404
145,Jul 23,52241
146,Jul 22,52073
147,Jul 21,52083
148,Jul 20,51920
149,Jul 19,51735
150,Jul 18,51591
151,Jul 17,51465
152,Jul 16,51360
153,Jul 15,51261
154,Jul 14,51153
155,Jul 13,51100
156,Jul 12,51029
157,Jul 11,50928
158,Jul 10,50847
159,Jul 9,50805
160,Jul 8,50753
161,Jul 7,50701
162,Jul 6,50664
163,Jul 5,50628
164,Jul 4,50555
165,Jul 3,50494
166,Jul 2,50419
167,Jul 1,50342
168,Jun 30,50280
169,Jun 29,50230
170,Jun 28,50154
171,Jun 27,50081
172,Jun 26,50012
173,Jun 25,49921
174,Jun 24,49803
175,Jun 23,49720
176,Jun 22,49650
177,Jun 21,49581
178,Jun 20,49483
179,Jun 19,49392
180,Jun 18,49319
181,Jun 17,49187
182,Jun 16,49068
183,Jun 15,48928
184,Jun 14,48763
185,Jun 13,48620
186,Jun 12,48441
187,Jun 11,48231
188,Jun 10,48067
189,Jun 9,47883
190,Jun 8,47719
191,Jun 7,47574
192,Jun 6,47335
193,Jun 5,47152
194,Jun 4,46942
195,Jun 3,46856
196,Jun 2,46753
197,Jun 1,46545
198,May 31,46442
199,May 30,46257
200,May 29,46126
201,May 28,45950
202,May 27,45768
203,May 26,45578
204,May 25,45445
205,May 24,45236
206,May 23,45064
207,May 22,44888
208,May 21,44700
209,May 20,44447
210,May 19,44249
211,May 18,44141
212,May 17,43995
213,May 16,43870
214,May 15,43681
215,May 14,43481
216,May 13,43211
217,May 12,42984
218,May 11,42788
219,May 10,42627
220,May 9,42382
221,May 8,42093
222,May 7,41774
223,May 6,41319
224,May 5,41087
225,May 4,40770
226,May 3,40571
227,May 2,40236
