,Quarter,Revenue in million U.S. dollars
0,Q4 2019,275.28
1,Q3 2019,267.3
2,Q2 2019,270.46
3,Q1 2019,270.81
4,Q4 2018,263.55
5,Q3 2018,257.8
6,Q2 2018,260.63
7,Q1 2018,260.59
8,Q4 2017,269.38
9,Q3 2017,246.64
10,Q2 2017,250.04
11,Q1 2017,242.38
12,Q4 2016,225.97
13,Q3 2016,217.1
14,Q2 2016,219.48
15,Q1 2016,217.99
16,Q4 2015,215.16
17,Q3 2015,210.71
18,Q2 2015,213.13
19,Q1 2015,212.79
20,Q4 2014,210.56
21,Q3 2014,206.73
22,Q2 2014,209.82
23,Q1 2014,209.72
24,Q4 2013,207.67
25,Q3 2013,204.16
26,Q2 2013,206.97
27,Q1 2013,205.48
28,Q4 2012,216.12
29,Q3 2012,194.74
30,Q2 2012,194.21
31,Q1 2012,189.97
