,Year,GDP per capita in U.S. dollars
0,2025*,21542.01
1,2024*,20428.34
2,2023*,19101.83
3,2022*,17792.74
4,2021*,16401.47
5,2020*,14033.24
6,2019,14853.02
7,2018,14915.87
8,2017,13410.79
9,2016,12361.54
10,2015,11781.78
11,2014,13610.8
12,2013,13664.97
13,2012,13249.45
14,2011,14579.3
15,2010,13550.44
16,2009,14159.41
17,2008,15892.04
18,2007,13550.44
19,2006,11348.39
20,2005,10208.61
21,2004,9354.1
22,2003,8051.03
23,2002,6241.22
24,2001,5409.89
25,2000,4970.21
26,1999,5132.69
27,1998,5631.17
28,1997,5243.58
29,1996,5251.66
30,1995,5027.78
