,Year,Number of injuries
0,2018,58250
1,2017,58835
2,2016,62085
3,2015,68085
4,2014,63350
5,2013,65880
6,2012,69400
7,2011,70090
8,2010,71875
9,2009,78150
10,2008,79700
11,2007,80100
12,2006,83400
13,2005,80100
14,2004,75840
15,2003,78750
16,2002,80800
17,2001,82250
18,2000,84550
19,1999,88500
20,1998,87500
21,1997,85400
22,1996,87150
23,1995,94500
24,1994,95400
25,1993,101500
26,1992,97700
27,1991,103300
28,1990,100300
29,1989,100700
30,1988,102900
31,1987,102600
32,1986,96450
33,1985,100900
34,1984,102300
35,1983,103150
36,1982,98150
37,1981,103340
38,1980,98070
39,1979,95780
40,1978,101100
41,1977,112540
