,Industry,Value added in billion U.S. dollars
0,"Finance, insurance, real estate, rental, and leasing",4491.7
1,Professional and business services,2742.2
2,Government,2630.9
3,Manufacturing,2359.9
4,"Educational services, health care, and social assistance",1881.4
5,Wholesale trade,1278.1
6,Retail trade,1172.9
7,Information,1120.3
8,"Arts, entertainment, recreation, accommodation, and food services",898.5
9,Construction,886.6
10,Transportation and warehousing,684.5
11,"Other services, except government",456.6
12,Utilities,334.6
13,Mining,320.3
14,"Agriculture, forestry, fishing, and hunting",169.2
