,Month,Net worth in billion U.S. dollars
0,Jeff Bezos & family (Amazon.com),131.0
1,Bill Gates (Microsoft),96.5
2,Warren Buffett (Berkshire Hathaway),82.5
3,Larry Ellison (Oracle),62.5
4,Mark Zuckerberg (Facebook),62.3
5,Michael Bloomberg (Bloomberg LP ),55.5
6,Larry Page (Google),50.8
7,Charles Koch (Koch Industries),50.5
8,David Koch (Koch Industries),50.5
9,Sergey Brin (Google),49.8
10,Jim Walton (Walmart),44.6
11,Alice Walton (Walmart),44.4
12,S. Robson Walton (Walmart),44.3
13,Steve Ballmer (Microsoft),41.2
14,Sheldon Adelson (Las Vegas Sands),35.1
15,Michael Dell (Dell Technologies),34.3
16,Phil Knight & family (Nike),33.4
17,Jacqueline Mars (Mars),23.9
18,John Mars (Mars),23.9
19,"Elon Musk (Tesla Motors, SpaceX)",22.3
