,Industry,Real value added in billion chained (2012) U.S. dollars
0,"Finance, insurance, real estate, rental, and leasing",212.12
1,Professional and business services,132.06
2,Government and government enterprises,100.42
3,"Educational services, health care, and social assistance",93.98
4,Retail trade,75.05
5,Wholesale trade,66.96
6,"Arts, entertainment, recreation, accommodation, and food services",54.16
7,Manufacturing,53.98
8,Information,48.9
9,Construction,45.07
10,Transportation and warehousing,32.12
11,Utilities,15.81
12,"Agriculture, forestry, fishing, and hunting",8.32
13,"Mining, quarrying, and oil and gas extraction",1.61
