,March Madness Game,Points scored
0,"Austin Carr (Notre Dame vs. Ohio, 1970)",61
1,"Bill Bradley (Princeton vs. Wichita, 1965)",58
2,"Oscar Robertson (Cincinnati vs. Arkansas, 1958)",56
3,"Austin Carr (Notre Dame vs. Kentucky, 1970)",52
4,"Austin Carr (Notre Dame vs. TCU, 1971)",52
5,"David Robinson ( Navy vs. Michigan, 1987)",50
6,"Elvin Hayes (Houston vs. Loyola Chicago, 1968)",49
7,"Hal Lear (Temple vs. SMU, 1956)",48
8,"Austin Carr (Notre Dame vs. Houston, 1971)",47
9,"Dave Corzine ( DePaul vs. Louisville, 1978)",46
10,"Bob Houbregs (Washington vs. Seattle U., 1953)",45
11,"Austin Carr (Notre Dame vs. Iowa, 1970)",45
12,"Bo Kimble ( LMU (CA) vs. New Mexico St., 1990)",45
13,"Clyde Lovellette ( Kansas vs. Saint Louis, 1952)",44
14,"Rod Thorn (West Virginia vs. Saint Joseph’s, 1963)",44
15,"Dan Issel (Kentucky vs. Notre Dame, 1970)",44
16,"Bill Walton (UCLA vs. Memphis, 1973)",44
17,"Hersey Hawkins (Bradley vs. Auburn, 1988)",44
18,"Travis Mays (Texas vs. Georgia, 1990)",44
19,"Glenn Robinson (Purdue vs. Kansas, 1994)",44
