,Month,Number of bankruptcies
0,Aug '20,382
1,Jul '20,484
2,Jun '20,670
3,May 20,270
4,Apr '20,298
5,Mar '20,869
6,Feb '20,865
7,Jan '20,930
8,Dec '19,1025
9,Nov '19,745
10,Oct '19,930
11,Sep '19,1082
12,Aug '19,459
13,Jul '19,755
14,Jun '19,1014
15,May '19,964
16,Apr '19,934
17,Mar '19,948
18,Feb '19,909
19,Jan '19,833
20,Dec '18,854
21,Nov '18,890
22,Oct '18,1125
23,Sep '18,897
24,Aug '18,477
25,Jul '18,689
26,Jun '18,852
27,May '18,603
28,Apr '18,784
29,Mar '18,951
30,Feb '18,846
31,Jan '18,910
