,Year,Annual growth
0,2019,1.3%
1,2018,1.3%
2,2017,1.7%
3,2016,1.7%
4,2015,2.4%
5,2014,2.9%
6,2013,2.2%
7,2012,1.4%
8,2011,1.3%
9,2010,2.1%
10,2009,-4.1%
11,2008,-0.3%
12,2007,2.4%
13,2006,2.7%
14,2005,3%
15,2004,2.3%
16,2003,3.3%
17,2002,2.2%
18,2001,2.7%
19,2000,3.5%
20,1999,3.3%
21,1998,3.7%
22,1997,5%
23,1996,2.5%
24,1995,2.5%
25,1994,3.8%
26,1993,2.5%
27,1992,0.4%
28,1991,-1.1%
29,1990,0.7%
30,1989,2.6%
31,1988,5.7%
32,1987,5.4%
33,1986,3.2%
34,1985,4.1%
35,1984,2.2%
36,1983,4.2%
37,1982,2%
38,1981,-0.7%
39,1980,-2.1%
40,1979,3.7%
41,1978,4.2%
42,1977,2.4%
43,1976,3%
44,1975,-1.5%
45,1974,-2.5%
46,1973,6.5%
47,1972,4.3%
48,1971,3.6%
49,1970,2.7%
50,1969,1.9%
51,1968,5.5%
52,1967,2.8%
53,1966,1.5%
54,1965,2.1%
55,1964,5.7%
56,1963,4.8%
57,1962,1.1%
58,1961,2.7%
59,1960,6.3%
60,1959,4.3%
61,1958,1.3%
62,1957,2%
63,1956,1.7%
64,1955,4%
65,1954,4.4%
66,1953,5.6%
67,1952,1.5%
68,1951,3.7%
69,1950,3.3%
70,1949,3.3%
