,association football club,Kit sponsorship revenue in million euros
0,VfL Wolfsburg (Volkswagen),70.0
1,FC Bayern Munich (Telekom),45.0
2,Borussia Dortmund (Evonik)*,35.0
3,RB Leipzig (Red Bull),35.0
4,FC Schalke 04 (Gazprom),20.0
5,VfB Stuttgart (Mercedes-Benz-Bank)**,10.0
6,Borussia Mönchengladbach (Postbank),9.0
7,SV Werder Bremen (Wiesenhof),8.0
8,1. FC Köln (Rewe),7.5
9,Eintracht Frankfurt (Indeed),7.0
10,Bayer 04 Leverkusen (Barmenia),6.0
11,TSG Hoffenheim (SAP),5.5
12,FC Augsburg (WWK)***,4.2
13,FSV Mainz 05 (Kömmerling),4.0
14,SC Freiburg (Schwarzwaldmilch),3.0
15,Union Berlin (Aroundtown),2.5
16,Arminia Bielefeld (Schüco),2.5
