,College or university,Average SAT score
0,California Institute of Technology,2300
1,Princeton University,2255
2,Yale University,2255
3,Harvard University,2255
4,University of Chicago,2235
5,Washington University in St. Louis,2225
6,Massachusetts Institute of Technology,2220
7,Harvey Mudd College,2215
8,Stanford University,2215
9,Columbia University,2215
10,Vanderbilt University,2200
11,Dartmouth College,2190
12,Northwestern University,2185
13,Duke University,2185
14,Pomona College,2175
15,Swarthmore College,2175
16,University of Pennsylvania,2170
17,Tufts University,2155
18,Rice University,2155
19,Williams College,2153
20,Amherst College,2150
21,Brown University,2150
22,Bowdoin College,2145
23,Carleton College,2135
24,University of Notre Dame,2130
25,Haverford College,2130
