,Quarter,Unemployment rate
0,Q3 '20,16.26%
1,Q2 '20,15.33%
2,Q1 '20,14.41%
3,Q4 '19,13.78%
4,Q3 '19,13.92%
5,Q2 '19,14.02%
6,Q1 '19,14.7%
7,Q4 '18,14.45%
8,Q3 '18,14.55%
9,Q2 '18,15.28%
10,Q1 '18,16.74%
11,Q4 '17,16.55%
12,Q3 '17,16.38%
13,Q2 '17,17.22%
14,Q1 '17,18.75%
15,Q4 '16,18.63%
16,Q3 '16,18.91%
17,Q2 '16,20%
18,Q1 '16,21%
19,Q4 '15,20.9%
20,Q3 '15,21.18%
21,Q2 '15,22.37%
22,Q1 '15,23.78%
23,Q4 '14,23.7%
24,Q3 '14,23.67%
25,Q2 '14,24.47%
26,Q1 '14,25.93%
27,Q4 '13,25.73%
28,Q3 '13,25.65%
29,Q2 '13,26.06%
30,Q1 '13,26.94%
31,Q4 '12,25.77%
32,Q3 '12,24.79%
33,Q2 '12,24.4%
34,Q1 '12,24.19%
35,Q4 '11,22.56%
36,Q3 '11,21.28%
37,Q2 '11,20.64%
38,Q1 '11,21.08%
39,Q4 '10,20.11%
40,Q3 '10,19.59%
41,Q2 '10,19.89%
42,Q1 '10,19.84%
43,Q4 '09,18.66%
44,Q3 '09,17.75%
45,Q2 '09,17.77%
46,Q1 '09,17.24%
47,Q4 '08,13.79%
48,Q3 '08,11.23%
49,Q2 '08,10.36%
50,Q1 '08,9.6%
51,Q4 '07,8.57%
52,Q3 '07,8.01%
53,Q2 '07,7.93%
54,Q1 '07,8.42%
55,Q4 '06,8.26%
56,Q3 '06,8.08%
57,Q2 '06,8.44%
58,Q1 '06,9.03%
59,Q4 '05,8.71%
60,Q3 '05,8.41%
61,Q2 '05,9.32%
62,Q1 '05,10.17%
