,Quarter,Revenue in million U.S. dollars
0,Q3 '19,345.29
1,Q2 '19,306.5
2,Q1 '19,265.4
3,Q4 '18,248.69
4,Q3 '18,233.24
5,Q2 '18,217.04
6,Q1 '18,208.23
7,Q4 '17,233.28
8,Q3 '17,224.59
9,Q2 '17,209.23
10,Q1 '17,194.3
11,Q4 '16,190.54
12,Q3 '16,182.42
13,Q2 '16,181.74
14,Q1 '16,186.72
15,Q4 '15,185.77
16,Q3 '15,195.74
17,Q2 '15,199.92
18,Q1 '15,183.29
19,Q4 '14,192.55
20,Q3 '14,176.61
21,Q2 '14,153.23
22,Q1 '14,168.02
23,Q4 '13,176.36
24,Q3 '13,202.58
25,Q2 '13,230.74
26,Q1 '13,263.59
27,Q4 '12,311.17
