,Cities,"Number of resident population in 1,000"
0,"New York city, New York",8398.75
1,"Los Angeles city, California",3990.46
2,"Chicago city, Illinois",2705.99
3,"Houston city, Texas",2325.5
4,"Phoenix city, Arizona",1660.27
5,"Philadelphia city, Pennsylvania",1584.14
6,"San Antonio city, Texas",1532.23
7,"San Diego city, California",1425.98
8,"Dallas city, Texas",1345.05
9,"San Jose city, California",1030.12
10,"Austin city, Texas",964.25
11,"Jacksonville city, Florida",903.89
12,"Fort Worth city, Texas",895.01
13,"Columbus city, Ohio",892.53
14,"San Francisco city, California",883.31
15,"Charlotte city, North Carolina",872.5
16,"Indianapolis city (balance), Indiana",867.13
17,"Seattle city, Washington",744.96
18,"Denver city, Colorado",716.49
19,"Washington city, District of Columbia",702.46
20,"Boston city, Massachusetts",694.58
21,"El Paso city, Texas",682.67
22,"Detroit city, Michigan",672.66
23,"Nashville-Davidson metropolitan government (balance), Tennessee",669.05
24,"Portland city, Oregon",653.12
