,Top 20 most abused prescription drugs,Revenue in million U.S. dollars
0,Methylphenidate HCl,2073.0
1,OxyContin (oxycondone HCl controled-release),1390.0
2,Celecoxib,1246.0
3,Buprenorphine and naloxone,1026.0
4,Suboxone (buprenorphine and naloxone),935.0
5,Concerta (methylphenidate HCl),863.0
6,Celebrex (celecoxib capsule),733.0
7,Fentanyl,560.0
8,Zolpidem tartrate,491.0
9,Celecox (celecoxib),434.5
10,Adderall XR (amphetamine/dextroamphetamine),363.8
11,Sertraline HCL,349.0
12,Hydromorphone HCl,316.0
13,Ambien (zolpidem tartrate),304.0
14,Zoloft (sertraline HCl),304.0
15,Methylphenidate ER,288.0
16,Duragesic (fentanyl transdermal system),288.0
17,Ritalin/Focalin (methylphenidate HCl),282.0
18,Subsys (fentanyl sublingual spray),242.3
19,Morphine suflate,132.0
