,theme park,Attendance in millions
0,"Magic Kingdom (Walt Disney World), USA",20.96
1,"Disneyland Anaheim, USA",18.66
2,"Tokyo Disneyland, Japan",17.91
3,"Tokyo Disney Sea, Japan",14.65
4,"Universal Studios, Japan",14.5
5,"Disney's Animal Kingdom, USA",13.89
6,"Epcot (Walt Disney World), USA",12.44
7,"Chimelong Ocean Kingdom, China",11.74
8,"Disney's Hollywood Studios, USA",11.48
9,"Shanghai Disneyland, China",11.21
10,"Universal Studios Orlando, USA",10.92
11,"Islands of Adventure, USA",10.38
12,"Disney's California Adventure, USA",9.86
13,"Disneyland Park, France",9.74
14,"Universal Studios Hollywood, USA",9.15
15,"Everland, South Korea",6.61
16,"Lotte World, South Korea",5.95
17,"Nagashima Spa Land, Japan",5.95
18,"Europa Park, Germany",5.75
19,"Hong Kong Disneyland, Hong Kong S.A.R.",5.7
20,"Ocean Park, Hong Kong S.A.R.",5.7
21,"De Efteling, the Netherlands",5.26
22,"Walt Disney Studios Park, France",5.25
23,"OCTHappz Vallez, Beijing, China",5.16
24,"Chimelong Paradise, China",4.91
