,State,Per capita Real GDP in chained 2012 U.S. dollars
0,Massachusetts,75258
1,New York,75131
2,Alaska,74422
3,North Dakota,70991
4,California,70662
5,Connecticut,69789
6,Washington,69761
7,Wyoming,67915
8,Delaware,64985
9,New Jersey,63492
10,Maryland,61926
11,Illinois,61713
12,Texas,61682
13,Colorado,61311
14,Minnesota,60066
15,Nebraska,59386
16,Hawaii,58981
17,United States,58107
18,New Hampshire,57272
19,Virginia,56938
20,Pennsylvania,56868
21,Iowa,55051
22,Kansas,53528
23,South Dakota,52913
24,Oregon,52726
25,Ohio,52664
26,Wisconsin,52534
27,Rhode Island,51963
28,Louisiana,51729
29,Utah,51407
30,Oklahoma,50876
31,Georgia,50816
32,Nevada,50043
33,Indiana,49321
34,Vermont,48855
35,North Carolina,48496
36,Tennessee,48440
37,Michigan,47448
38,Missouri,47407
39,New Mexico,46304
40,Florida,44267
41,Arizona,44161
42,Montana,44145
43,Maine,43541
44,Kentucky,42386
45,South Carolina,41457
46,Alabama,41389
47,Idaho,40566
48,West Virginia,40265
49,Arkansas,39580
50,Mississippi,35015
