,State,Number of deaths
0,New York,38743
1,Texas,28797
2,California,27519
3,Florida,22188
4,New Jersey,19382
5,Illinois,18562
6,Pennsylvania,16536
7,Michigan,13608
8,Massachusetts,12734
9,Georgia,11072
10,Arizona,9317
11,Ohio,9247
12,Indiana,8663
13,Louisiana,7635
14,Tennessee,7267
15,North Carolina,6996
16,Connecticut,6192
17,Maryland,6082
18,Missouri,5950
19,Minnesota,5520
20,South Carolina,5498
21,Wisconsin,5366
22,Virginia,5191
23,Colorado,4991
24,Mississippi,4975
25,Alabama,4886
26,Iowa,3999
27,Arkansas,3836
28,Washington,3541
29,Nevada,3235
30,Kansas,2985
31,Kentucky,2772
32,New Mexico,2594
33,Oklahoma,2571
34,Rhode Island,1870
35,Nebraska,1692
36,Puerto Rico,1570
37,Oregon,1550
38,South Dakota,1513
39,Idaho,1471
40,West Virginia,1442
41,North Dakota,1329
42,Utah,1312
43,Montana,1005
44,Delaware,947
45,District of Columbia,801
46,New Hampshire,792
47,Wyoming,464
48,Maine,369
49,Hawaii,289
50,Alaska,218
51,Vermont,149
52,Guam,123
53,US Virgin Islands,24
54,Other,3
55,Northern Mariana Islands,2
