,ice hockey team,Ticket price in U.S. dollars
0,Toronto Maple Leafs*,113.66
1,Boston Bruins,88.7
2,Vancouver Canucks*,84.87
3,Winnipeg Jets*,79.28
4,Chicago Blackhawks,78.8
5,New York Rangers,77.87
6,Philadelphia Flyers,74.65
7,Montreal Canadiens*,73.67
8,Pittsburgh Penguins,73.59
9,Edmonton Oilers*,72.63
10,Washington Capitals,70.98
11,Minnesota Wild,67.06
12,Los Angeles Kings,66.25
13,Calgary Flames*,63.07
14,League average,62.18
15,Nashville Predators,62.16
16,Carolina Hurricanes,61.04
17,San Jose Sharks,54.68
18,St. Louis Blues,53.33
19,Ottawa Senators*,51.76
20,Buffalo Sabres,49.72
21,New York Islanders,49.21
22,Detroit Red Wings,49.16
23,Columbus Blue Jackets,48.9
24,New Jersey Devils,47.71
25,Colorado Avalanche,47.56
26,Anaheim Ducks,45.1
27,Tampa Bay Lightning,44.5
28,Dallas Stars,37.28
29,Florida Panthers,33.39
30,Phoenix Coyotes**,-
