,Response,Share of respondents
0,"Cooking (e.g., MasterChef, Chopped, etc.)",35%
1,"Competition / elimination (e.g., Dancing with the Stars, America's Got Talent, etc.)",27%
2,"Documentaries / docu-series (e.g., The Real World, Keeping up with the Kardashians, The Hills, etc.)",22%
3,"Supernatural (e.g., Ghost Hunters, Paranormal State, etc.)",18%
4,"Hidden camera / amateur content (e.g., Impractical Jokers, America's Funniest Home Videos, etc.)",17%
5,"Makeover / renovation (e.g., Extreme Makeover, What Not to Wear, etc.)",17%
6,"Travel / aspirational (e.g., Lifestyles of the Rich and Famous, MTV Cribs, etc.)",13%
7,"Dating (e.g., The Bachelor / Bachelorette, etc.)",9%
8,Other,17%
9,Don't know,2%
10,Not applicable - I do not typically watch reality TV,27%
