,American Universities,Tuition cost in U.S. dollars,Average debt
0,Harvard University (Massachusetts),69600,7372
1,Stanford University (California),69109,8155
2,Yale University (Connecticut),71290,4962
3,Massachusetts Institute of Technology (Massachusetts),67430,7530
4,Princeton University (New Jersey),66150,4451
5,University of Pennsylvania (Pennsylvania),71715,7733
6,Brown University (Rhode Island),71050,7794
7,California Institute of Technology (California),68901,5988
8,Duke University (North Carolina),71764,6114
9,Dartmouth College (New Hampshire),71827,6239
10,Cornell University (New York),70321,8107
11,Pomona College (California),69725,6561
12,"University of California, Berkeley (California)",65003,6237
13,Columbia University (New York),74199,10740
14,Georgetown University (District of Columbia),71580,6358
15,University of Chicago (Illinois),75735,10381
16,Northwestern University (Illinois),72980,7024
17,University of Notre Dame (Indiana),69395,6600
18,Williams College (Massachusetts),70650,4440
19,"University of Michigan, Ann Arbor (Michigan)",62176,6965
