,Month,Units sold
0,Jul '20,2554
1,Jan '19,1496
2,Dec '18,958
3,Nov '18,1178
4,Oct '18,1554
5,Sep '18,2628
6,Aug '18,1259
7,Jul '18,1767
8,Jun '18,2439
9,May '18,1800
10,Apr '18,1562
11,Mar '18,2869
12,Feb '18,840
13,Jan '18,1272
14,Dec '17,1209
15,Nov '17,1129
16,Oct '17,1554
17,Sep '17,2845
18,Aug '17,1316
19,Jul '17,1742
20,Jun '17,2309
21,May '17,2075
22,Apr '17,2335
23,Mar '17,2904
24,Feb '17,922
25,Jan '17,1054
26,Dec '16,1070
27,Nov '16,1212
28,Oct '16,1522
29,Sep '16,2603
30,Aug '16,1330
31,Jul '16,1686
