,Race,Private institutions,Public institutions
0,2017-18,30282,7054
1,2016-17,28945,6818
2,2015-16,27436,6612
3,2014-15,26182,6370
4,2013-14,25110,6120
5,2012-13,23943,5899
6,2011-12,22850,5563
7,2010-11,22042,5075
8,2009-10,21764,4763
9,2008-09,21570,4512
10,2007-08,20972,4291
11,2006-07,20048,4102
12,2005-06,18862,3874
13,2004-05,18154,3629
14,2003-04,17315,3319
15,2002-03,16383,2903
16,2001-02,15742,2700
17,2000-01,15000,2562
18,1999-00,14100,2504
19,1998-99,13428,2430
20,1997-98,12801,2360
21,1996-97,12498,2271
22,1995-96,11864,2179
23,1994-95,11111,2057
24,1993-94,10572,1942
25,1992-93,9942,1782
26,1991-92,9419,1628
27,1990-91,8772,1454
28,1989-90,8147,1356
29,1988-89,7461,1285
30,1987-88,6988,1218
31,1986-87,6316,1106
32,1985-86,5789,1045
33,1984-85,5315,971
34,1983-84,4851,891
35,1982-83,4439,798
36,1981-82,3953,714
37,1980-81,3498,635
38,1979-80,3130,583
39,1978-79,2867,543
40,1977-78,2624,512
41,1976-77,2467,479
42,1975-76,2272,433
43,1974-75,2117,432
44,1973-74,1989,438
45,1972-73,1898,407
46,1971-72,1820,376
47,1970-71,1684,351
48,1969-70,1533,323
