,State,Number of veterans
0,California,1538797
1,Florida,1439606
2,Texas,1435787
3,Pennsylvania,745909
4,Ohio,680310
5,New York,678833
6,Virginia,670273
7,North Carolina,667035
8,Georgia,609508
9,Illinois,559656
10,Michigan,530572
11,Washington,520226
12,Arizona,496239
13,Tennessee,429585
14,Missouri,384150
15,Indiana,380079
16,Colorado,371081
17,South Carolina,363194
18,Maryland,363178
19,Wisconsin,326288
20,Alabama,324612
21,New Jersey,308012
22,Minnesota,294377
23,Massachusetts,292644
24,Oregon,279132
25,Oklahoma,266513
26,Kentucky,261887
27,Louisiana,247339
28,Nevada,211114
29,Arkansas,187903
30,Iowa,184032
31,Kansas,178959
32,Connecticut,165029
33,Mississippi,162926
34,New Mexico,146147
35,West Virginia,126473
36,Idaho,121327
37,Utah,120410
38,Nebraska,116754
39,Maine,105385
40,Hawaii,102915
41,New Hampshire,93957
42,Montana,84392
43,Alaska,67635
44,Delaware,66896
45,Rhode Island,54848
46,South Dakota,54691
47,Wyoming,45252
48,North Dakota,45135
49,Vermont,33986
50,District of Columbia,23254
