,Response,Share of respondents
0,Sugar,53%
1,Food waste,51%
2,Food prices,46%
3,Salt,45%
4,Animal welfare,44%
5,Fat,39%
6,Satuated fat,37%
7,Food hygiene when eating out,36%
8,Chemicals from the enironment,30%
9,Food poisoning,29%
10,Additives,29%
11,Food aimed at children,28%
12,The use of pesticides,28%
13,Hormons/ steroids/ antibiotics in food,27%
14,GM foods,24%
15,Mislabelled food,24%
16,Date labels,24%
17,Food miles,23%
18,Feed given to livestock,18%
19,Food hygiene at home,17%
20,BSE (Mad cow disease),13%
