,National Basketball Association team,Franchise value in million U.S. dollars
0,New York Knicks,4600
1,Los Angeles Lakers,4400
2,Golden State Warriors,4300
3,Chicago Bulls,3200
4,Boston Celtics,3100
5,Los Angeles Clippers,2600
6,Brooklyn Nets,2500
7,Houston Rockets,2475
8,Dallas Mavericks,2400
9,Toronto Raptors,2100
10,Philadelphia 76ers,2000
11,Miami Heat,1950
12,Portland Trail Blazers,1850
13,San Antonio Spurs,1800
14,Sacramento Kings,1775
15,Washington Wizards,1750
16,Phoenix Suns,1625
17,Denver Nuggets,1600
18,Milwaukee Bucks,1580
19,Oklahoma City Thunder,1575
20,Utah Jazz,1550
21,Indiana Pacers,1525
22,Atlanta Hawks,1520
23,Cleveland Cavaliers,1510
24,Charlotte Hornets,1500
25,Detroit Pistons,1450
26,Orlando Magic,1430
27,Minnesota Timberwolves,1375
28,New Orleans Pelicans,1350
29,Memphis Grizzlies,1300
