,Metropolitan area,Violent crime severity index
0,"Winnipeg, Manitoba",173.96
1,"Thunder Bay, Ontario",145.91
2,"Saskatoon, Saskatchewan",134.73
3,"Regina, Saskatchewan",132.63
4,"Edmonton, Alberta",109.08
5,"Moncton, New Brunswick",106.66
6,"Brantford, Ontario",100.96
7,"Greater Sudbury, Ontario",94.45
8,"Kitchener-Cambridge-Waterloo, Ontario",87.71
9,"Calgary, Alberta",84.5
10,"Halifax, Nova Scotia",83.76
11,"Kelowna, British Columbia",82.19
12,"St. John's, Newfoundland and Labrador",82.18
13,"Vancouver, British Columbia",80.25
14,"Toronto, Ontario",78.06
15,"Abbotsford-Mission, British Columbia",77.46
16,"Montréal, Quebec",76.07
17,"Hamilton, Ontario",74.04
18,"Saint John, New Brunswick",73.76
19,"Ottawa-Gatineau, Quebec part",71.15
20,"Ottawa-Gatineau, Ontario/Quebec",69.39
21,"Ottawa-Gatineau, Ontario part",68.84
22,"Windsor, Ontario",67.65
23,"Kingston, Ontario",66.88
24,"Peterborough, Ontario",65.67
25,"Victoria, British Columbia",65.16
26,"Saguenay, Quebec",64.49
27,"Trois-Rivières, Quebec",64.17
28,"London, Ontario",63.86
29,"Barrie, Ontario",62.08
30,"Québec, Quebec",57.25
31,"St.Catharines-Niagara, Ontario",56.75
32,"Sherbrooke, Quebec",56.32
33,"Guelph, Ontario",52.09
