,Country,Male,Female
0,Germany,40514123,41661561
1,France,32340016,34419934
2,United Kingdom,32224529,33158027
3,Italy,29456321,31209230
4,Spain,22807464,23632635
5,Ukraine,19717881,22872998
6,Poland,18377040,19590169
7,Romania,9649811,10110503
8,Netherlands,8417135,8561985
9,Belgium,5569264,5741853
10,Greece,5224210,5559538
11,Portugal,4901509,5439821
12,Czech Republic,5186330,5367513
13,Hungary,4688519,5141966
14,Belarus,4420842,5077522
15,Sweden,4930966,4920051
16,Austria,4265369,4424707
17,Switzerland,4121471,4205655
18,Bulgaria,3477177,3676607
19,Serbia,3446258,3630114
20,Denmark,2837887,2869364
21,Finland,2701490,2785818
22,Slovakia,2646082,2780170
23,Ireland,2335733,2388987
24,Croatia,2022797,2167872
25,Georgia,1779500,1940900
26,Armenia,1429042,1569535
27,Lithuania,1329607,1558951
28,Albania,1461326,1424700
29,Latvia,904299,1064658
30,Slovenia,1023333,1040855
31,Former Yugoslav Republic of Macedonia,1037601,1033677
32,Kosovo,883294,888310
33,Estonia,616708,699236
34,Cyprus,412692,435627
35,Montenegro,307734,314484
36,Luxembourg,289193,287056
37,Malta,217569,216834
38,Iceland,167270,165259
39,Liechtenstein,18660,18962
