,Country,Number of imported firearms
0,Austria,933574
1,Brazil,864886
2,Turkey,423455
3,Italy,354031
4,Germany,351802
5,Croatia,295107
6,Czech Republic,223836
7,Canada,209816
8,Philippines,139098
9,China*,111696
10,Spain,78957
11,Japan,68771
12,Belgium,58830
13,Argentina,39969
14,Finland,34918
15,Romania,33447
16,Israel,15658
17,Switzerland,13547
18,United Kingdom,9969
19,Serbia,8312
20,Poland,8048
21,Russia,7060
22,Portugal,5516
23,Bulgaria,4340
24,Slovenia,3232
25,Other**,2426
26,Ukraine,2100
27,Slovak Republic,1996
28,France,1454
