,Month,Index**
0,May 20,136.9
1,Apr 20,107.4
2,Mar 20,125.9
3,Feb 20,128.3
4,Jan 20,138.4
5,Dec 19,211.9
6,Nov 19,193.0
7,Oct 19,152.4
8,Sep 19,138.4
9,Aug 19,128.8
10,Jul 19,144.3
11,Jun 19,150.6
12,May 19,137.4
13,Apr 19,136.0
14,Mar 19,130.8
15,Feb 19,110.6
16,Jan 19,139.5
17,Dec 18,214.0
18,Nov 18,195.0
19,Oct 18,145.4
20,Sep 18,131.1
21,Aug 18,119.1
22,Jul 18,127.5
23,Jun 18,127.6
24,May 18,129.0
25,Apr 18,117.3
26,Mar 18,116.5
27,Feb 18,98.8
28,Jan 18,125.7
29,Dec 17,188.7
30,Nov 17,163.7
31,Oct 17,127.7
32,Sep 17,110.4
33,Aug 17,106.4
34,Jul 17,109.9
35,Jun 17,107.4
36,May 17,104.0
37,Apr 17,94.3
38,Mar 17,102.9
39,Feb 17,89.1
40,Jan 17,106.5
41,Dec 16,156.6
42,Nov 16,141.6
43,Oct 16,107.2
44,Sep 16,88.4
45,Aug 16,87.1
46,Jul 16,92.9
47,Jun 16,91.5
48,May 16,91.7
49,Apr 16,85.9
50,Mar 16,81.7
51,Feb 16,76.5
52,Jan 16,94.3
53,Dec 15,144.7
54,Nov 15,128.5
55,Oct 15,100.0
56,Sep 15,89.4
57,Aug 15,89.8
58,Jul 15,84.7
59,Jun 15,92.0
60,May 15,81.3
61,Apr 15,82.3
62,Mar 15,79.3
63,Feb 15,67.8
64,Jan 15,85.8
65,Dec 14,131.3
66,Nov 14,108.1
67,Oct 14,86.5
68,Sep 14,82.1
69,Aug 14,79.7
70,Jul 14,79.9
71,Jun 14,78.5
72,May 14,79.9
73,Apr 14,71.0
74,Mar 14,73.5
75,Feb 14,62.3
76,Jan 14,75.3
77,Dec 13,109.0
78,Nov 13,89.8
79,Oct 13,74.0
80,Sep 13,71.8
81,Aug 13,59.5
82,Jul 13,66.2
83,Jun 13,64.3
84,May 13,65.1
85,Apr 13,63.6
86,Mar 13,68.8
87,Feb 13,54.6
88,Jan 13,64.3
