,Month,Number of individuals in thousands
0,Dec 18,106941
1,Dec 8,108269
2,Dec 1,109259
3,Nov 27,108989
4,Nov 17,106700
5,Nov 10,101200
6,Oct 30,99400
7,Oct 20,100393
8,Oct 12,101504
9,Oct 6,103469
10,Sep 29,105289
11,Sep 22,106300
12,Sep 15,108342
13,Sep 8,112011
14,Sep 1,116761
15,Aug 25,122229
16,Aug 18,130142
17,Aug 11,140040
18,Jul 31,139838
19,Jun 30,135988
20,Jun 23,143111
21,Jun 16,151470
22,Jun 9,160203
23,Jun 2,171439
24,May 29,181469
25,May 19,198587
26,May 12,218054
27,May 5,245989
28,Apr 30,269013
29,Apr 21,286895
30,Apr 7,291055
31,Mar 31,300634
32,Mar 24,291000
33,Mar 17,149165
34,Mar10,65344
35,Mar 3,65683
