,Year,Inflation rate compared to previous year
0,2024*,1.96%
1,2023*,1.95%
2,2022*,1.93%
3,2021*,1.91%
4,2020*,1.83%
5,2019*,1.66%
6,2018,1.74%
7,2017,1.26%
8,2016,0.9%
9,2015,1.18%
10,2014,0.77%
11,2013,0.98%
12,2012,3.23%
13,2011,2.51%
14,2010,2.04%
15,2009,1.84%
16,2008,4.68%
17,2007,0.7%
18,2006,2.58%
19,2005,2.52%
20,2004,2.73%
21,2003,1.93%
22,2002,2.61%
23,2001,2.51%
24,2000,3.04%
25,1999,2.29%
26,1998,3.69%
27,1997,3.92%
28,1996,1.96%
29,1995,3.97%
30,1994,4.13%
31,1993,4.03%
32,1992,1.85%
33,1991,2.55%
34,1990,2.98%
35,1989,0.87%
36,1988,0.95%
37,1987,0.42%
38,1986,2.03%
39,1985,-0.24%
40,1984,-0.44%
