,Month,Index value
0,Jan 20,28256.03
1,Dec 19,28538.44
2,Nov 19,28051.41
3,Oct 19,27046.23
4,Sep 19,26916.83
5,Aug 19,26864.27
6,Jul 19,26403.28
7,Jun 19,26599.96
8,May 19,24815.04
9,Apr 19,26592.91
10,Mar 19,25928.68
11,Feb 19,25916.0
12,Jan 19,24999.67
13,Dec 18,23327.46
14,Nov 18,25538.46
15,Oct 18,25115.76
16,Sep 18,26458.31
17,Aug 18,25964.82
18,Jul 18,25415.19
19,Jun 18,24271.41
20,May 18,24415.84
21,Apr 18,24163.15
22,Mar 18,24103.11
23,Feb 18,25029.2
24,Jan 18,26149.39
25,Dec 17,24719.22
26,Nov 17,24272.35
27,Oct 17,23377.24
28,Sep 17,22405.09
29,Aug 17,21948.1
30,Jul 17,21891.12
31,Jun 17,21349.63
32,May 17,21008.65
33,Apr 17,20940.51
34,Mar 17,20663.22
35,Feb 17,20812.24
36,Jan 17,19864.09
37,Dec 16,19762.6
38,Nov 16,19123.58
39,Oct 16,18142.42
40,Sep 16,18308.15
41,Aug 16,18400.88
42,Jul 16,18432.24
43,Jun 16,17929.99
44,May 16,17787.2
45,Apr 16,17773.64
46,Mar 16,17685.09
47,Feb 16,16516.5
48,Jan 16,16466.3
49,Dec 15,17425.03
50,Nov 15,17719.92
51,Oct 15,17663.54
52,Sep 15,16284.7
53,Aug 15,16528.03
54,Jul 15,17689.86
55,Jun 15,17619.51
56,May 15,18010.68
57,Apr 15,17840.52
58,Mar 15,17776.12
59,Feb 15,17662.94
60,Jan 15,18132.7
61,Dec 14,17164.95
62,Nov 14,17823.07
63,Oct 14,17828.24
64,Sep 14,17390.52
65,Aug 14,17042.9
66,Jul 14,17098.45
67,Jun 14,16563.3
68,May 14,16826.6
69,Apr 14,16717.17
70,Mar 14,16580.84
71,Feb 14,16457.66
72,Jan 14,16321.71
73,Dec 13,15698.85
74,Nov 13,16576.66
