,Year,GDP per capita in U.S. dollars
0,2025*,4056.16
1,2024*,3875.58
2,2023*,3710.23
3,2022*,3553.17
4,2021*,3408.59
5,2020*,3121.38
6,2019*,3331.76
7,2018,3348.14
8,2017,3148.01
9,2016,2995.68
10,2015,2964.96
11,2014,3259.72
12,2013,3200.48
13,2012,2979.74
14,2011,3111.54
15,2010,2896.56
16,2009,2922.59
17,2008,2946.93
18,2007,2549.88
19,2006,2242.73
20,2005,2063.31
21,2004,1999.13
22,2003,1768.6
23,2002,1453.94
24,2001,1376.53
25,2000,1373.92
26,1999,1492.18
27,1998,1519.17
28,1997,1442.43
29,1996,1612.85
30,1995,1479.28
31,1994,1369.64
32,1993,1239.05
33,1992,1343.36
34,1991,1310.61
35,1990,1248.81
36,1989,1109.29
37,1988,1102.83
38,1987,952.58
39,1986,884.05
40,1985,685.33
