,Month,Number of viewers in thousands
0,November 2020,16.79
1,October 2020,17.01
2,September 2020,18.03
3,August 2020,17.24
4,July 2020,23.34
5,June 2020,21.33
6,May 2020,19.94
7,April 2020,19.04
8,March 2020,20.96
9,February 2020,22.02
10,January 2020,19.48
11,December 2019,18.92
12,November 2019,22.31
13,October 2019,14.66
14,September 2019,30.37
15,August 2019,47.15
16,July 2019,39.32
17,June 2019,42.7
18,May 2019,33.21
19,April 2019,39.71
20,March 2019,35.71
21,February 2019,35.18
22,January 2019,30.27
23,December 2018,22.71
24,November 2018,31.01
25,October 2018,21.76
26,September 2018,28.59
27,August 2018,31.05
28,July 2018,34.24
29,June 2018,32.12
30,May 2018,42.46
31,April 2018,44.51
32,March 2018,43.08
33,February 2018,39.82
34,January 2018,43.83
