,Month,Unemployment rate
0,Jun '20,7%
1,May '20,7%
2,Apr '20,7%
3,Mar '20,6.1%
4,Feb '20,5.5%
5,Jan '20,5.5%
6,Dec '19,5.4%
7,Nov '19,5.4%
8,Oct '19,5.3%
9,Sep '19,5.3%
10,Aug '19,5.4%
11,Jul '19,5.4%
12,Jun '19,5.5%
13,May '19,5.4%
14,Apr '19,5.4%
15,Mar '19,5.4%
16,Feb '19,5.2%
17,Jan '19,5.1%
18,Dec '18,5.1%
19,Nov '18,5.2%
20,Oct '18,5.3%
21,Sep '18,5.3%
22,Aug '18,5.5%
23,Jul '18,5.5%
24,Jun '18,5.5%
25,May '18,5.6%
26,Apr '18,5.6%
27,Mar '18,5.7%
28,Feb '18,5.7%
29,Jan '18,5.7%
30,Dec '17,5.8%
31,Nov '17,5.7%
32,Oct '17,5.8%
33,Sept '17,5.9%
