,Year,Inflation rate compared to previous year
0,2025*,2.18%
1,2024*,2.13%
2,2023*,1.22%
3,2022*,1.88%
4,2021*,0.66%
5,2020*,0.8%
6,2019,0.19%
7,2018,0.27%
8,2017,1.15%
9,2016,0.66%
10,2015,-0.86%
11,2014,1.2%
12,2013,0.51%
13,2012,1.21%
14,2011,1.7%
15,2010,0.92%
16,2009,-1.1%
17,2008,6.39%
18,2007,2.32%
19,2006,4.24%
20,2005,3.65%
21,2004,3.07%
22,2003,2.62%
23,2002,2.2%
24,2001,1.15%
25,2000,0.61%
26,1999,-1.21%
27,1998,-0.85%
28,1997,1.03%
29,1996,6.43%
30,1995,2.89%
31,1994,2.57%
32,1993,1.47%
33,1992,2.4%
34,1991,3.23%
35,1990,2.05%
36,1989,0%
37,1988,5.32%
38,1987,2.02%
39,1986,0.79%
40,1985,4.15%
