,Migration Background,Number of persons in thousands
0,Men with a migration background (s. str.),10855
1,Among these: men with own migration experience,2438
2,Among these: men without own migration experience,3073
3,Among these: foreign men with own migration experience,4490
4,Among these: foreign men without own migration experience,854
5,Women with a migration background (s. str.),10391
6,Among these: women with own migration experience,2687
7,Among these: women without own migration experience,2927
8,Among these: foreign women with own migration experience,4066
9,Among these: foreign women without own migration experience,711
