,Sporting Kansas City player,Payroll in thousand U.S. dollars
0,Felipe  Gutierrez,1650.0
1,Johnny Russell,1450.0
2,Krisztian  Nemeth,1063.67
3,Andreu  Fontas,1050.0
4,Ilie  Sanchez,900.0
5,Roger  Espinoza,800.0
6,Graham  Zusi,688.33
7,Matt  Besler,675.0
8,Gerso  Fernandes,550.01
9,Benny  Feilhaber,463.4
10,Rodney  Wallace,360.0
11,Tim  Melia,341.67
12,Botond  Baráth,297.33
13,Luis  Martins,240.0
14,Nicolas  Hasler,183.67
15,Erik  Hurtado,181.25
16,Jimmy  Medranda,155.0
17,Seth  Sinovic,143.0
18,Daniel  Salloi,139.62
19,Gianluca Busio,92.5
20,Jaylin  Lindsey,88.0
21,Tyler  Freeman,82.75
22,Gedion  Zelalem,77.92
23,Eric  Dick,73.7
24,Wan  Kuzain,70.88
25,Adrian  Zendejas,70.25
26,Cameron  Duke,69.25
27,Graham  Smith,57.23
28,Felipe  Hernandez,56.25
