,Month,Number of samples tested
0,Feb 28,116
1,Feb 29,142
2,Mar 1,165
3,Mar 2,191
4,Mar 3,215
5,Mar 4,231
6,Mar 5,239
7,Mar 6,247
8,Mar 7,254
9,Mar 8,260
10,Mar 9,275
11,Mar 10,290
12,Mar 11,321
13,Mar 12,366
14,Mar 13,442
15,Mar 14,520
16,Mar 15,624
17,Mar 16,742
18,Mar 17,935
19,Mar 18,1027
20,Mar 19,1154
21,Mar 20,1466
22,Mar 21,2086
23,Mar 22,2361
24,Mar 23,2734
25,Mar 24,3471
26,Mar 25,4320
27,Mar 26,5495
28,Mar 27,6900
29,Mar 28,8424
30,Mar 29,9891
31,Mar 30,11280
32,Mar 31,12574
33,Apr 1,15635
34,Apr 2,18432
35,Apr 3,21376
36,Apr 4,23645
37,Apr 5,25599
38,Apr 6,27807
39,Apr 7,30108
40,Apr 8,32809
41,Apr 9,36051
42,Apr 10,38472
43,Apr 13,41503
44,Apr 14,42690
45,Apr 15,44677
46,Apr 16,48537
47,Apr 17,53101
48,Apr 18,58816
49,Apr 19,64035
50,Apr 20,66352
51,Apr 21,70753
52,Apr 22,76793
53,Apr 23,83591
54,Apr 24,90992
55,Apr 25,98948
56,Apr 26,104488
57,Apr 27,106775
58,Apr 28,111809
59,Apr 29,118201
60,Apr 30,125555
61,May 1,132768
62,May 2,138270
63,May 3,141678
64,May 4,144029
65,May 5,149106
66,May 6,156493
67,May 7,164088
68,May 8,172191
69,May 9,180332
70,May 10,183913
71,May 11,186565
72,May 12,192386
73,May 13,200264
74,May 14,208253
75,May 15,216247
76,May 16,224040
77,May 17,228726
78,May 18,231104
79,May 19,237600
80,May 20,245580
81,May 21,253004
82,May 22,259043
83,May 23,264882
84,May 25,269889
85,May 26,275058
86,May 27,281232
87,May 28,287982
88,May 29,294091
89,May 30,294280
90,May 31,302859
91,Jun 1,304854
92,Jun 2,309725
93,Jun 3,315112
94,Jun 4,321040
95,Jun 5,326294
96,Jun 6,331229
97,Jun 7,333433
98,Jun 8,335686
99,Jun 9,340073
100,Jun 10,345392
101,Jun 11,350788
102,Jun 12,356062
103,Jun 14,363528
104,Jun 15,365136
105,Jun 16,369546
106,Jun 17,375572
107,Jun 18,381225
108,Jun 19,386194
109,Jun 20,390457
110,Jun 21,392553
111,Jun 22,394465
112,Jun 23,398417
113,Jun 24,403841
114,Jun 25,406557
115,Jun 26,410867
116,Jun 29,418368
117,Jun 30,422840
118,Jul 1,428238
119,Jul 3,436679
120,Jul 10,455833
121,Jul 13,461666
122,Jul 20,482607
123,Jul 27,504056
124,Aug 3,527729
125,Aug 10,553388
126,Aug 14,570657
127,Aug 24,608767
128,Aug 31,639044
129,Sep 7,666930
130,Oct 12,844742
131,Oct 20,905929
132,Nov 4,1038164
133,Nov 12,1146969
134,Nov 20,1241490
