,Year,Surplus in billion Canadian dollars
0,2013 Q1,-12.13
1,2013 Q2,-1.99
2,2013 Q3,-5.63
3,2013 Q4,-7.66
4,2014 Q1,1.86
5,2014 Q2,8.87
6,2014 Q3,-1.62
7,2014 Q4,-4.6
8,2015 Q1,-0.64
9,2015 Q2,6.88
10,2015 Q3,-4.63
11,2015 Q4,-1.78
12,2016 Q1,0.19
13,2016 Q2,4.19
14,2016 Q3,-5.09
15,2016 Q4,-7.35
16,2017 Q1,-1.17
17,2017 Q2,9.13
18,2017 Q3,-3.42
19,2017 Q4,-6.1
20,2018 Q1,-0.2
21,2018 Q2,4.17
22,2018 Q3,-4.18
23,2018 Q4,-7.41
24,2019 Q1,-1.23
25,2019 Q2,8.4
26,2019 Q3,-5.54
27,2019 Q4,-8.36
28,2020 Q1,-15.44
29,2020 Q2,-103.38
