,Month,Net income/loss in million U.S. dollars
0,Jul-Sept '18,-63.67
1,Apr-Jun '18,-92.0
2,Jan-Mar '18,-131.71
3,Oct-Dec '17,-44.75
4,Jul-Sept '17,-66.24
5,Apr-Jun '17,-275.14
6,Jan-Mar '17,-132.27
7,Oct-Dec '16,-90.01
8,Jul-Sept '16,-61.53
9,Apr-Jun '16,-76.33
10,Jan-Mar '16,-115.1
11,Oct-Dec '15,-19.41
12,Jul-Sept '15,-85.93
13,Apr-Jun '15,-16.07
14,Jan-Mar '15,-48.26
15,Oct-Dec '14,12.28
16,Jul-Sept '14,-2.03
17,Apr-Jun '14,-11.73
18,Jan-Mar '14,-28.9
19,Nov-Dec '13*,11.06
20,Aug-Oct '13,-1.7
21,May-Jul '13,-7.79
22,Feb-Apr '13,-28.59
23,Nov '12-Jan '13,-14.56
24,Aug-Oct '12,2.05
25,May-Jul '12,-5.42
26,Feb-Apr '12,-20.23
27,Nov '11-Jan '12,-8.18
28,Aug-Oct '11,0.64
29,May-Jul '11,-1.81
30,Feb-Apr '11,-6.75
