,Response,Share of consumption
0,China,50.9%
1,United States,8.1%
2,Japan,7.5%
3,South Korea,4.1%
4,Germany,3.7%
5,Italy,3.1%
6,Taiwan,2.8%
7,India,2.6%
8,Spain,2.1%
9,Finland,1.6%
10,France,1.5%
11,Belgium/Luxemburg,1.5%
12,Sweden,1.4%
13,United Kingdom,1.2%
14,Other Asia,1.1%
15,Russia,1.1%
16,Brazil,1%
17,South Africa,1%
18,Austria,0.6%
19,Canada,0.4%
20,Czech Republic,0.3%
21,Hong Kong,0.3%
22,Other EU,0.3%
23,Ukraine,0.3%
24,Thailand,0.2%
25,Turkey,0.2%
26,Poland,0.2%
27,Other America,0.2%
28,Slovenia,0.2%
29,North Korea,0.1%
30,Other Africa,0.1%
31,Romania,0.1%
32,Mexico,0.1%
