,Month,Units sold
0,Dec '19,178
1,Nov '19,222
2,Oct '19,374
3,Sep '19,491
4,Aug '19,271
5,Jul '19,491
6,Jun '19,464
7,May '19,500
8,Apr '19,442
9,Mar '19,737
10,Feb '19,172
11,Jan '19,228
12,Dec ´18,167
13,Nov ´18,196
14,Oct ´18,297
15,Sep ´18,409
16,Aug ´18,328
17,Jul ´18,466
18,Jun ´18,612
19,May ´18,667
20,Apr '18,555
21,Mar '18,821
22,Feb '18,168
23,Jan '18,244
24,Nov ´17,260
25,Oct ´17,356
26,Sep ´17,450
27,Aug ´17,254
28,Jul ´17,469
29,Jun ´17,556
30,May ´17,494
31,Apr ´17,479
32,Mar ´17,798
33,Feb ´17,119
34,Jan ´17,237
35,Dec ´16,396
36,Nov ´16,293
37,Oct `16,414
38,Sep ´16,496
39,Aug ´16,329
40,Jul ´16,463
41,Jun ´16,553
42,May ´16,536
43,Apr ´16,616
44,Mar ´16,891
45,Feb ´16,140
46,Jan ´16,236
