,Year,Effective rate
0,12/1/2020,0.09%
1,11/1/2020,0.09%
2,10/1/2020,0.09%
3,9/1/2020,0.09%
4,8/1/2020,0.1%
5,7/1/2020,0.09%
6,6/1/2020,0.08%
7,5/1/2020,0.05%
8,4/1/2020,0.05%
9,3/1/2020,0.65%
10,2/1/2020,1.58%
11,1/1/2020,1.55%
12,12/1/2019,1.55%
13,11/1/2019,1.55%
14,10/1/2019,1.83%
15,9/1/2019,2.04%
16,8/1/2019,2.13%
17,7/1/2019,2.4%
18,6/1/2019,2.38%
19,5/1/2019,2.39%
20,4/1/2019,2.42%
21,3/1/2019,2.41%
22,2/1/2019,2.4%
23,1/1/2019,2.4%
24,12/1/2018,2.27%
25,11/1/2018,2.2%
26,10/1/2018,2.19%
27,9/1/2018,1.95%
28,8/1/2018,1.91%
29,7/1/2018,1.91%
30,6/1/2018,1.82%
31,5/1/2018,1.7%
32,4/1/2018,1.69%
33,3/1/2018,1.51%
34,2/1/2018,1.42%
35,1/1/2018,1.41%
36,12/1/2017,1.3%
37,11/1/2017,1.16%
38,10/1/2017,1.15%
39,9/1/2017,1.15%
40,8/1/2017,1.16%
41,7/1/2017,1.15%
42,6/1/2017,1.04%
43,5/1/2017,0.91%
44,4/1/2017,0.9%
45,3/1/2017,0.79%
46,2/1/2017,0.66%
47,1/1/2017,0.65%
48,12/1/2016,0.54%
49,11/1/2016,0.41%
50,10/1/2016,0.4%
51,9/1/2016,0.4%
52,8/1/2016,0.4%
53,7/1/2016,0.39%
54,6/1/2016,0.38%
55,5/1/2016,0.37%
56,4/1/2016,0.37%
57,3/1/2016,0.36%
58,2/1/2016,0.38%
59,1/1/2016,0.34%
60,12/1/2015,0.24%
61,11/1/2015,0.12%
62,10/1/2015,0.12%
63,9/1/2015,0.14%
64,8/1/2015,0.14%
65,7/1/2015,0.13%
66,6/1/2015,0.13%
67,5/1/2015,0.12%
68,4/1/2015,0.12%
69,3/1/2015,0.11%
70,2/1/2015,0.11%
71,1/1/2015,0.11%
72,12/1/2014,0.12%
73,11/1/2014,0.09%
74,10/1/2014,0.09%
75,9/1/2014,0.09%
76,8/1/2014,0.09%
77,7/1/2014,0.09%
78,6/1/2014,0.1%
79,5/1/2014,0.09%
80,4/1/2014,0.09%
81,3/1/2014,0.08%
82,2/1/2014,0.07%
83,1/1/2014,0.07%
84,12/1/2013,0.09%
85,11/1/2013,0.08%
86,10/1/2013,0.09%
87,9/1/2013,0.08%
88,8/1/2013,0.08%
89,7/1/2013,0.09%
90,6/1/2013,0.09%
91,5/1/2013,0.11%
92,4/1/2013,0.15%
93,3/1/2013,0.14%
94,2/1/2013,0.15%
95,1/1/2013,0.14%
96,12/1/2012,0.16%
97,11/1/2012,0.16%
98,10/1/2012,0.16%
99,9/1/2012,0.14%
100,8/1/2012,0.13%
101,7/1/2012,0.16%
102,6/1/2012,0.16%
103,5/1/2012,0.16%
104,4/1/2012,0.14%
105,3/1/2012,0.13%
106,2/1/2012,0.1%
107,1/1/2012,0.08%
108,12/1/2011,0.07%
109,11/1/2011,0.08%
110,10/1/2011,0.07%
111,9/1/2011,0.08%
112,8/1/2011,0.1%
113,7/1/2011,0.07%
114,6/1/2011,0.09%
115,5/1/2011,0.09%
116,4/1/2011,0.1%
117,3/1/2011,0.14%
118,2/1/2011,0.16%
119,1/1/2011,0.17%
120,12/1/2010,0.18%
121,11/1/2010,0.19%
122,10/1/2010,0.19%
123,9/1/2010,0.19%
124,8/1/2010,0.19%
125,7/1/2010,0.18%
126,6/1/2010,0.18%
127,5/1/2010,0.2%
128,4/1/2010,0.2%
129,3/1/2010,0.16%
130,2/1/2010,0.13%
131,1/1/2010,0.11%
132,12/1/2009,0.12%
133,11/1/2009,0.12%
134,10/1/2009,0.12%
135,9/1/2009,0.15%
136,8/1/2009,0.16%
137,7/1/2009,0.16%
138,6/1/2009,0.21%
139,5/1/2009,0.18%
140,4/1/2009,0.15%
141,3/1/2009,0.18%
142,2/1/2009,0.22%
143,1/1/2009,0.15%
144,12/1/2008,0.16%
145,11/1/2008,0.39%
146,10/1/2008,0.97%
147,9/1/2008,1.81%
148,8/1/2008,2%
149,7/1/2008,2.01%
150,6/1/2008,2%
151,5/1/2008,1.98%
152,4/1/2008,2.28%
153,3/1/2008,2.61%
154,2/1/2008,2.98%
155,1/1/2008,3.94%
156,12/1/2007,4.24%
157,11/1/2007,4.49%
158,10/1/2007,4.76%
159,9/1/2007,4.94%
160,8/1/2007,5.02%
161,7/1/2007,5.26%
162,6/1/2007,5.25%
163,5/1/2007,5.25%
164,4/1/2007,5.25%
165,3/1/2007,5.26%
166,2/1/2007,5.26%
167,1/1/2007,5.25%
168,12/1/2006,5.24%
169,11/1/2006,5.25%
170,10/1/2006,5.25%
171,9/1/2006,5.25%
172,8/1/2006,5.25%
173,7/1/2006,5.24%
174,6/1/2006,4.99%
175,5/1/2006,4.94%
176,4/1/2006,4.79%
177,3/1/2006,4.59%
178,2/1/2006,4.49%
179,1/1/2006,4.29%
180,12/1/2005,4.16%
181,11/1/2005,4%
182,10/1/2005,3.78%
183,9/1/2005,3.62%
184,8/1/2005,3.5%
185,7/1/2005,3.26%
186,6/1/2005,3.04%
187,5/1/2005,3%
188,4/1/2005,2.79%
189,3/1/2005,2.63%
190,2/1/2005,2.5%
191,1/1/2005,2.28%
192,12/1/2004,2.16%
193,11/1/2004,1.93%
194,10/1/2004,1.76%
195,9/1/2004,1.61%
196,8/1/2004,1.43%
197,7/1/2004,1.26%
198,6/1/2004,1.03%
199,5/1/2004,1%
200,4/1/2004,1%
201,3/1/2004,1%
202,2/1/2004,1.01%
203,1/1/2004,1%
204,12/1/2003,0.98%
205,11/1/2003,1%
206,10/1/2003,1.01%
207,9/1/2003,1.01%
208,8/1/2003,1.03%
209,7/1/2003,1.01%
210,6/1/2003,1.22%
211,5/1/2003,1.26%
212,4/1/2003,1.26%
213,3/1/2003,1.25%
214,2/1/2003,1.26%
215,1/1/2003,1.24%
216,12/1/2002,1.24%
217,11/1/2002,1.34%
218,10/1/2002,1.75%
219,9/1/2002,1.75%
220,8/1/2002,1.74%
221,7/1/2002,1.73%
222,6/1/2002,1.75%
223,5/1/2002,1.75%
224,4/1/2002,1.75%
225,3/1/2002,1.73%
226,2/1/2002,1.74%
227,1/1/2002,1.73%
228,12/1/2001,1.82%
229,11/1/2001,2.09%
230,10/1/2001,2.49%
231,9/1/2001,3.07%
232,8/1/2001,3.65%
233,7/1/2001,3.77%
234,6/1/2001,3.97%
235,5/1/2001,4.21%
236,4/1/2001,4.8%
237,3/1/2001,5.31%
238,2/1/2001,5.49%
239,1/1/2001,5.98%
240,12/1/2000,6.4%
241,11/1/2000,6.51%
242,10/1/2000,6.51%
243,9/1/2000,6.52%
244,8/1/2000,6.5%
245,7/1/2000,6.54%
246,6/1/2000,6.53%
247,5/1/2000,6.27%
248,4/1/2000,6.02%
249,3/1/2000,5.85%
250,2/1/2000,5.73%
251,1/1/2000,5.45%
