,State,Total number of stores
0,California,297
1,Texas,150
2,Florida,124
3,Illionois,95
4,New York,84
5,Pennsylvania,75
6,Minnesota,73
7,Ohio,64
8,Virginia,59
9,Michigan,53
10,North Carolina,51
11,Georgia,50
12,New Jersey,47
13,Massachusetts,47
14,Arizona,46
15,Colorado,42
16,Maryland,40
17,Washington,39
18,Wisconsin,36
19,Missouri,35
20,Indiana,31
21,Tennessee,30
22,Alabama,22
23,Connecticut,21
24,Iowa,20
25,Oregon,20
26,South Carolina,19
27,Nevada,17
28,Kansas,17
29,Oklahoma,15
30,Louisiana,15
31,Nebraska,14
32,Utah,14
33,Kentucky,14
34,New Mexico,10
35,Arkansas,9
36,New Hampshire,9
37,Hawaii,7
38,Montana,7
39,West Virginia,6
40,Idaho,6
41,Mississippi,6
42,South Dakota,5
43,Maine,5
44,District of Columbia,5
45,North Dakota,4
46,Rhode Island,4
47,Delaware,3
48,Alaska,3
49,Wyoming,2
50,Vermont,1
