,Response,Share of respondents
0,The Big Bang Theory,24%
1,Two and a Half Men,20%
2,Game of Thrones,18%
3,The Walking Dead,17%
4,How I Met Your Mother,14%
5,The Simpsons,14%
6,King of Queens,13%
7,Navy CIS,12%
8,Grey's Anatomy,11%
9,Tatort,11%
10,Scrubs,11%
11,Criminal Minds,11%
12,The X Files,10%
13,Breaking Bad,10%
14,Fear the Walking Dead,9%
15,"Gute Zeiten, schlechte Zeiten",9%
16,Navy CIS: L.A.,9%
17,CSI: Miami,9%
18,Dr. House,9%
19,The Flash,9%
20,Alarm für Cobra 11 - Die Autobahnpolizei,9%
21,Bones,9%
22,Prison Break,8%
23,CSI,8%
24,Supernatural,8%
25,The Mentalist,8%
26,Sherlock,8%
27,Star Trek - Enterprise / Voyager / Deep Space 9,8%
28,Sex and the City,8%
29,Family Guy,8%
30,CSI: NY,8%
31,Castle,7%
32,Law & Order,7%
33,Rizzoli & Isles,7%
34,American Horror Story,7%
35,Arrow,7%
36,Vampire Diaries,7%
37,South Park,7%
38,Desperate Housewives,7%
39,Dexter,7%
40,Full House,7%
41,The Blacklist,7%
42,Supergirl,7%
43,Friends,6%
44,Mike & Molly,6%
45,Stargate - Atlantis / Universe,6%
46,The 100,6%
47,House of Cards,6%
48,Marvel's Agents of S.H.I.E.L.D.,6%
49,Malcolm in the Middle,6%
