,player,Payroll in thousand U.S. dollars
0,Albert Rusnak,2001.67
1,Everton Luiz,1100.0
2,Damir Kreilach,1082.1
3,Joao Plata,856.25
4,Marcelo Silva,776.63
5,Sam Johnson,767.5
6,Nedum Onuoha,504.0
7,Jefferson Savarino,498.7
8,Justen Glad,366.7
9,Kelyn  Rowe,326.4
10,Kyle Beckerman,325.0
11,Nick Rimando,322.5
12,Brooks Lennon,242.59
13,Jordan Allen,238.0
14,Pablo Ruiz,221.0
15,Tony Beltran,207.0
16,Luke Mulholland,155.0
17,Donny Toia,131.25
18,Sebastian Saucedo,123.0
19,Alex Horwath,100.86
20,Aaron Herrera,86.0
21,Nick Besler,85.0
22,Andrew Putna,70.88
23,Erik Holt,70.25
24,David Ochoa,70.25
25,Justin Portillo,70.25
26,Tate Schmitt,70.25
27,Corey Baird,70.01
28,Julian Vazquez,66.25
29,Luis Arriaga,56.25
30,Doug Martinez,56.25
